,AGID,lab_id,catalog_number,set_id,peptide_target,protein_expression,gene_name,validation_status,antibody_origin,type,control1,fold_change
66,AGID00530,1436.863808996106,3658,Old,PI3KP85,0.8243185134737518,MLH1,Valid,Rabbit,PTM,-0.34213492113539623,1.4301251260650016
67,AGID02155,1233.798950800553,3305,Old,YAP_pS127,0.20779646694543386,WIPI1,Valid,Mouse,PTM,0.12632360822840485,-0.15058265149422967
68,AGID00048,1585.807014820375,9346,Set181,p90RSK_pT573,1.3938604479680476,ERRFI1,Caution,Rabbit,PTM,0.14345406480245404,-0.8166311031368694
69,AGID00527,955.1772946598501,ab14734,Set181,PLC-gamma1,0.7433405332543821,PRDX1,Caution,Mouse,Protein,-0.30625445205858476,0.8502109375646496
70,AGID00520,981.8185348652605,sc-10086,Old,BAD_pS112,0.40567238439491465,ENY2,Caution,Mouse,PTM,-0.6772707412599748,-9.308142708822178
71,AGID00036,1519.242372019888,11925,Old,IMP3,0.6813119175453877,YTHDF2,Caution,Mouse,PTM,-0.11323479542827095,0.562887073934871
72,AGID00334,1256.6261955937248,AB3314P,Old,HEREGULIN,2.1340153895706497,PKMYT1,Valid,Mouse,PTM,-0.5202854094122648,5.27580506200408
73,AGID00120,2529.6348800909686,13141,Old,DUSP4,0.8002157768916818,IGFBP2,Caution,Rabbit,PTM,-0.7864541268994099,4.009246019545572
74,AGID00065,461.15545096827884,A302-024A,Old,AMPK-a2_pS345,0.4369936911930505,BCL2,Valid,Rat,Protein,-0.09510696148963657,0.5099881990393567
75,AGID00230,1095.065362290905,5149,Old,TSC1,0.6764654168250458,CDH3,Under Evaluation,Rabbit,PTM,0.26331411008853384,0.8901567001749845
76,AGID00377,2101.761537659545,HPA007730,Set181,Erk5,0.47085789027165925,NOTCH3,Caution,Goat,Protein,1.5460738310932611,1.85157423251503
77,AGID00006,2062.089918380283,1495-1/ab32053,Old,TRAP1,0.7841978884050598,ACSL1,Under Evaluation,Rat,Protein,-0.16391934379801926,1.9864998394606734
78,AGID02191,2481.003313209308,12263,Set181,P62LCKLIGAND,0.09051714502678573,GCLM,Caution,Goat,Protein,-0.35705200607476,-0.8513351457220661
79,AGID00413,857.2252909591588,PA5-27856,Set181,Wee1_pS642,0.3667864644110943,CDT1,Valid,Mouse,Protein,-0.11476148987921919,0.6587998363826073
80,AGID00445,2032.8969379008781,5690,Old,MSH2,2.144687833680165,PRKCA/PRKCB/PRKCD/PRKCE/PRKCH/PRKCQ,Under Evaluation,Goat,PTM,0.3640353810087735,-0.10779525006335922
81,AGID00332,1871.8761304009668,4061,Set181,CD45,-0.20530880375103386,ERCC5,Caution,Rabbit,Protein,0.546397090091496,0.5367906796308749
82,AGID00502,322.2207988700899,12793,Old,ARID1A,0.38500725009633385,ACSL1,Valid,Mouse,Protein,-0.4967446839539561,3.576251609054732
83,AGID00111,904.1179220632137,M070101-2,Set181,DUSP4,0.17709952671509038,MCL1,Valid,Mouse,PTM,1.5101790004463242,5.347747802450909
84,AGID00150,922.2828411746395,71,Set181,TIGAR,0.41737470166926954,PYGM,Valid,Rabbit,PTM,-0.3629285312077436,1.7394785164826199
85,AGID00484,665.8066236195425,12103,Set181,GCN5L2,0.45222741904881353,RBM15,Valid,Goat,Protein,0.5806368969860494,3.8609858637876338
86,AGID00303,1502.0666459702866,9371,Old,NQO1,0.34546275162272516,MYH11,Under Evaluation,Rabbit,Protein,1.9239587146191164,0.8372559118507077
87,AGID00179,570.7348360845759,1494-1/ab32529,Old,ARAF_pS299,-0.08004888785005873,MAPK11/MAPK12/MAPK13/MAPK14,Under Evaluation,Mouse,PTM,-0.16728435905563632,0.8324050687114097
88,AGID00203,1017.9366116398743,sc-25388,Set181,ATP5H,0.5380319070934343,STING1,Caution,Mouse,Protein,1.6434227085728965,3.747521939404554
89,AGID00503,2430.57783725046,4253,Old,Cox-IV,1.0711859127214451,NQO1,Under Evaluation,Rabbit,Protein,1.721670620093845,0.9619638565536225
90,AGID00420,662.9297882724511,12721,Old,Wee1,-0.09606024006240894,CDKN1A,Valid,Rat,Protein,0.38344071346996533,1.9341206330162812
91,AGID00336,656.1023492245025,11998,Set181,53BP1,0.35714431925764933,ANXA7,Caution,Mouse,PTM,-0.1173109424510458,2.595863551372613
92,AGID00124,1392.596560159937,8408,Old,BAK,0.6444958378761789,PMEL,Valid,Rat,Protein,0.403249794020579,-1.5444856856144495
93,AGID00022,1065.9195227685088,68547,Set181,BRD4,0.7861978645106614,S100A4,Caution,Rat,Protein,2.0184864756046714,0.5610280028160071
94,AGID00149,2003.73188869572,ab76310,Old,TRIM24,0.3323842381744855,MAP2K2,Caution,Mouse,PTM,1.8929815552722573,2.2447502214590163
95,AGID00208,2482.792466498545,8064,Set181,MERIT40_pS29,0.17289181827358793,GCLC,Caution,Mouse,Protein,-0.22958926659307785,-0.4762849088262553
96,AGID02210,588.1054370649834,4842,Set181,D -Ligase-IV,2.089279524765178,RAF1,Valid,Rabbit,Protein,-0.20236751751214216,1.8253185400280465
97,AGID00095,1292.081570798419,2971,Old,GYS,0.9587003848161754,SRSF1,Caution,Mouse,Protein,2.211328168478092,0.2012360861504312
98,AGID00402,2122.604791291965,9189,Set181,MTCO1,0.5442701830584314,PECAM1,Under Evaluation,Goat,Protein,-1.439425394682953,1.7354429007541627
99,AGID00054,1311.0171710032819,AM4300,Old,XPF,0.7773558777884061,FTO,Caution,Mouse,PTM,-0.20166434846880363,-1.7545113170634932
